	Chaetognatha	Rhizaria	Ostracoda	Calanus CI-III	Calanus >CIV	Calanus	Heterorhabdus	Metridia	Microcalanus	Oithona	Oncaea	Paraeuchaeta	Pseudocalanus	Themisto	depth_min	depth_max	station	l_Chaetognatha	l_Rhizaria	l_Ostracoda	l_Calanus CI-III	l_Calanus >CIV	l_Calanus	l_Heterorhabdus	l_Metridia	l_Microcalanus	l_Oithona	l_Oncaea	l_Paraeuchaeta	l_Pseudocalanus	l_Themisto
0	0.0	0.0	0.67	2.0	3.67	5.67	0.0	1.33	16.67	798.9900000000001	6.67	0.0	10.0	0.0	0.0	10.0	PS107_016-5	0.0	0.0	0.0	0.0	0.935798601168251	0.0	0.0	0.0	0.935798601168251	0.935798601168251	0.935798601168251	0.0	0.0	0.0
1	0.0	0.0	0.0	21.88	19.14	41.019999999999996	0.0	0.13	17.38	673.26	13.629999999999999	0.13	20.0	0.0	10.0	50.0	PS107_016-5	0.11697482514603137	1.1697482514603137	0.7018489508761883	0.4678993005841255	7.9542881099301335	10.644709088288856	0.0	0.11697482514603137	3.5092447543809415	0.8188237760222197	3.041345453796816	0.0	0.5848741257301568	0.11697482514603137
2	5.75	0.0	0.58	2.5	21.99	24.49	0.0	3.91	78.58	328.34	40.91	1.33	2.58	0.5	50.0	100.0	PS107_016-5	1.4036979017523765	1.3101180416355516	0.37431944046730037	0.2807395803504753	16.844374821028516	18.528812303131367	0.0	4.02393398502348	11.323163074135836	0.0	7.579968669462832	0.5614791607009506	0.842218741051426	0.6550590208177758
3	4.0	0.0	3.6	0.44	10.679999999999998	11.119999999999997	0.0	4.8	141.08	86.52000000000001	39.44	0.9199999999999999	1.4	0.2	100.0	200.0	PS107_016-5	1.263328111577139	1.6376475520444393	0.514689230642538	0.09357986011682509	13.522289786881228	11.978222094953612	0.0	5.240472166542205	3.462454824322529	0.09357986011682509	2.713815943387928	0.6082690907593631	0.421109370525713	0.2807395803504753
4	1.85	0.0	2.7	0.07	5.97	6.04	0.0	36.86	199.74	23.41	23.479999999999997	0.93	0.26	0.19	200.0	300.0	PS107_016-5	1.2633281115771389	0.7954288109930133	0.37431944046730037	0.0	10.200204752733935	7.34601901917077	0.0	6.878119718586644	4.77257286595808	0.18715972023365018	2.245916642803803	0.421109370525713	0.23394965029206274	0.18715972023365018
5	5.0	0.0	0.0	22.5	24.0	46.5	0.0	4.5	8.5	13126.0	10.5	0.0	51.0	0.0	0.0	10.0	PS107_010-6	0.976081322410593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.976081322410593	0.0	0.976081322410593	0.0
6	7.36	0.0	0.45	105.27	49.55	154.82	0.0	0.54	5.369999999999999	8786.36	6.18	0.0	161.82	0.09	10.0	50.0	PS107_010-6	1.0980914877119172	0.4880406612052965	0.12201016530132412	8.174681075188717	23.303941572552908	43.313608681970074	0.0	1.4641219836158894	4.514376116148993	3.782315124341048	15.739311323870814	0.24402033060264824	25.012083886771446	0.12201016530132412
7	6.94	0.0	0.65	16.0	53.940000000000005	69.94	0.0	0.36	8.76	890.17	35.94	0.29	48.4	0.71	50.0	100.0	PS107_010-6	1.0736894546516524	0.2928243967231779	0.0976081322410593	2.537811438267542	26.45180383732707	39.3360772931469	0.0	1.6593382480980083	2.6354195705086014	0.2928243967231779	9.467988827382753	0.0	13.762746645989361	0.0
8	4.73	0.0	1.76	1.24	23.230000000000004	24.47	0.0	16.389999999999997	33.64	96.02000000000001	34.24	0.54	5.85	0.15	100.0	200.0	PS107_010-6	2.977048033352309	0.7808650579284744	0.6344528595668855	0.4392365950847668	23.767580200697942	18.69195732416286	0.0	15.66610522469002	3.221068363954957	0.24402033060264822	24.402033060264827	0.4392365950847668	3.0258520994728384	0.829669124049004
9	5.68	0.0	2.61	0.39	22.539999999999996	22.929999999999996	0.0	39.97	55.879999999999995	70.71	26.58	0.74	2.06	0.74	200.0	300.0	PS107_010-6	3.6115008929191945	0.7808650579284745	0.48804066120529654	0.0976081322410593	51.000249095953485	37.237502449964126	0.0	30.600149457572098	1.4641219836158896	0.1952162644821186	8.638319703333746	0.04880406612052965	0.5368447273258261	0.829669124049004
10	0.0	0.0	0.5	6.0	5.5	11.5	0.0	0.05	15.0	4919.0	7.0	0.0	19.5	0.5	0.0	10.0	PS107_012-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	1.2	0.0	0.0	39.9	26.3	66.19999999999999	0.0	0.2	1.9	4346.5	1.5	0.0	57.0	0.4	10.0	50.0	PS107_012-5	0.24056846520783384	0.7217053956235016	0.0	4.330232373741009	9.141601677897686	17.320929494964037	0.0	0.7217053956235016	1.3632213028443916	0.6415159072208902	2.566063628883561	0.0	9.061412189495076	0.40094744201305643
12	11.33	0.0	0.58	24.17	64.74	88.91	0.0	0.33	9.83	1565.25	50.42	0.41	63.42	0.17	50.0	100.0	PS107_012-5	0.6415159072208902	0.5132127257767122	0.12830318144417804	2.950973173216095	20.59266062179058	33.9361914919851	0.0	0.8339706793871573	1.6679413587743146	1.1547286329976025	3.1434279453823626	0.19245477216626708	6.800068616541436	0.3207579536104451
13	4.0	0.0	0.96	1.56	35.64	37.2	0.0	7.12	93.68	127.24	33.44	0.72	10.040000000000001	0.16	100.0	200.0	PS107_012-5	1.2830318144417807	0.22453056752731163	0.3207579536104451	0.12830318144417804	19.919068919208645	23.51155799964563	0.0	4.234004987657876	2.822669991771918	0.6735917025819349	5.90194634643219	0.4169853396935787	1.4754865866080473	0.5452885211377568
14	6.68	0.0	1.08	0.64	32.559999999999995	33.199999999999996	0.0	22.48	121.91999999999999	140.88	51.12	0.68	4.04	0.6	200.0	300.0	PS107_012-5	4.073626010852653	0.48113693041566774	0.6735917025819349	0.12830318144417804	29.156897983189463	23.736088567172942	0.09622738608313354	18.026596992907017	3.6566406711590744	0.6735917025819349	10.905770422755134	0.2566063628883561	1.2830318144417805	1.2188802237196912
15	0.67	0.0	0.0	5.67	7.33	13.0	0.0	0.33	10.33	674.6600000000001	12.67	0.0	3.67	0.0	0.0	10.0	PS107_014-6	0.0	0.0	0.0	0.0	0.0	1.3248384690696586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
