vessel	cruise	station	region	latitude	longitude	bottom_depth	date_time	depth_min	depth_max	manual_classification	developmental_stage	individuals_cub_m	individuals_sqr_m	animal	copepod	phylum	class	spec_order	family	genus	species
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Animalia	multiple	2.67	26.67	True	False	Animalia					
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Appendicularia	head	8.0	80.0	True	False	Tunicata	Appendicularia				
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Appendicularia	tail	20.67	206.67	True	False	Tunicata	Appendicularia				
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Calanoida		2.0	20.0	True	True	Crustacea	Copepoda	Calanoida			
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Calanoida	CI-CVI	10.67	106.67	True	True	Crustacea	Copepoda	Calanoida			
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Calanus		14.67	146.67	True	True	Crustacea	Copepoda	Calanoida	Calanidae	Calanus	
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Calanus	CI-CVI	4.67	46.67	True	True	Crustacea	Copepoda	Calanoida	Calanidae	Calanus	
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Calanus	female	3.33	33.33	True	True	Crustacea	Copepoda	Calanoida	Calanidae	Calanus	
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Calanus finmarchicus	CI	1.33	13.33	True	True	Crustacea	Copepoda	Calanoida	Calanidae	Calanus	Calanus finmarchicus
Polarstern	PS106.2	PS106_047-1	Barents Sea	78.409578	34.712534	156.0	2017-06-26 18:13:00	0.0	10.0	Calanus finmarchicus	CII	4.0	40.0	True	True	Crustacea	Copepoda	Calanoida	Calanidae	Calanus	Calanus finmarchicus
